#{"t_start": 1749544830.3053637, "env_id": "Pendulum-v1"}
r,l,t
-1407.754293,200,2.349908
-905.456975,200,2.46462
-1063.768767,200,2.570915
-1080.928735,200,2.681954
-1610.500739,200,2.7999
-1139.455272,200,2.944284
-980.040082,200,3.0626
-1502.090733,200,3.175159
-1528.277542,200,3.282344
-1686.569085,200,3.389276
-1164.730104,200,4.747864
-877.135224,200,4.859579
-970.951664,200,4.969932
-1217.960124,200,5.083762
-1477.23747,200,5.194329
-1570.017877,200,5.307838
-1072.202109,200,5.424964
-1074.769492,200,5.534238
-1460.019892,200,5.64101
-1645.269687,200,5.761781
-1906.489881,200,7.035534
-1173.666505,200,7.147532
-1284.087868,200,7.249899
-1414.162412,200,7.339051
-1058.899388,200,7.450763
-1256.126713,200,7.562065
-1051.459312,200,7.656816
-1271.923684,200,7.779211
-1040.134142,200,7.880628
-1196.021787,200,7.99378
-923.099488,200,9.369233
-1065.505654,200,9.475404
-1053.926157,200,9.575729
-1689.593928,200,9.695148
-1817.021812,200,9.829204
-866.874352,200,9.939048
-1290.258975,200,10.058532
-1425.184664,200,10.154546
-1210.335825,200,10.282148
-1459.733975,200,10.393869
-953.515947,200,11.699959
-1304.333453,200,11.811722
-919.249879,200,11.923341
-1770.079355,200,12.034818
-859.254922,200,12.144558
-1476.524156,200,12.263836
-997.484408,200,12.383843
-1897.877744,200,12.479394
-1665.393134,200,12.597041
-1010.39904,200,12.712584
-1652.157833,200,12.797596
-1564.068222,200,12.870208
-1658.070713,200,12.964244
-857.388198,200,13.028196
-1044.606761,200,13.113697
-1821.115151,200,13.231026
-1597.18969,200,14.578902
-1678.987835,200,14.68988
-1439.996592,200,14.810931
-1566.869468,200,14.927207
-1105.350773,200,15.047009
-1403.900716,200,15.160238
-1075.401566,200,15.308997
-1287.626527,200,15.418112
-982.521902,200,15.5296
-1606.391272,200,15.649193
-1048.020333,200,17.06385
-1147.774606,200,17.184923
-1632.115728,200,17.31397
-1178.436172,200,17.453124
-1277.534228,200,17.563936
-1063.79125,200,17.69941
-1785.186689,200,17.829829
-1213.352008,200,17.949347
-1814.796445,200,18.11256
-965.848772,200,18.296746
-1877.500058,200,20.179282
-997.970789,200,20.336853
-1075.772869,200,20.515673
-957.222629,200,20.680919
-1786.406816,200,20.869808
-1067.493727,200,21.045802
-1169.202401,200,21.200892
-1839.382661,200,21.353254
-862.060168,200,21.49807
-1311.329897,200,21.655921
-1629.695996,200,23.411125
-1637.223788,200,23.548851
-1226.555711,200,23.696067
-851.504655,200,23.819077
-1281.063521,200,23.972234
-1736.185032,200,24.105115
-1043.015059,200,24.23263
-1728.240918,200,24.359453
-1070.561375,200,24.504942
-1530.444283,200,24.638572
-1365.978958,200,24.78656
-1769.123544,200,26.408561
-1305.861226,200,26.544388
-1104.203179,200,26.688137
-880.519858,200,26.799901
-961.342873,200,26.939633
-1353.35858,200,27.07782
-1452.959458,200,27.195184
-1070.632708,200,27.31786
-754.607951,200,27.417838
-1158.710361,200,27.551544
-1624.395647,200,27.629092
-1494.428475,200,27.72451
-1204.9014,200,27.820775
-1068.947706,200,27.948645
-884.568912,200,28.083647
-1459.337267,200,29.65935
-870.150311,200,29.795349
-1304.500696,200,29.922908
-1446.819612,200,30.05051
-1387.17047,200,30.177808
-1184.183126,200,30.320888
-1421.940949,200,30.44954
-910.234903,200,30.585362
-989.384047,200,30.713417
-1459.195191,200,30.841099
-1096.644584,200,32.391078
-1083.50767,200,32.525107
-1088.511394,200,32.651937
-1080.385215,200,32.777643
-1071.136526,200,32.904078
-1011.585937,200,33.042187
-1149.767883,200,33.165232
-1698.479702,200,33.309174
-1333.899895,200,33.436095
-1344.581472,200,33.559426
-1632.166824,200,35.076608
-1798.503449,200,35.192739
-1084.784567,200,35.309867
-1729.609145,200,35.450197
-1320.808951,200,35.581891
-850.375463,200,35.764913
-1067.823917,200,35.885619
-972.499541,200,36.006567
-1580.284545,200,36.139672
-1423.061703,200,36.272976
-1691.570631,200,36.403247
-1332.254665,200,37.954769
-1051.763828,200,38.103213
-1478.249542,200,38.24173
-1316.129954,200,38.366806
-974.491019,200,38.510353
-923.488667,200,38.643571
-760.696052,200,38.78013
-966.57799,200,38.915773
-1724.224955,200,39.061509
-1182.862012,200,39.192483
-1332.485349,200,40.737382
-863.898692,200,40.858719
-1846.683301,200,40.980249
-983.488753,200,41.115183
-995.431128,200,41.243179
-1298.423011,200,41.36991
-869.684538,200,41.499918
-769.913352,200,41.592802
-1181.644463,200,41.676635
-841.071655,200,41.775825
-1460.834147,200,41.86866
-1041.849179,200,41.963316
-1384.99709,200,42.105158
-1044.093934,200,42.237607
-1019.487463,200,42.352885
-1771.014147,200,43.851192
-1168.287998,200,43.978322
-1391.188832,200,44.122142
-1700.057209,200,44.249037
-1287.372813,200,44.36825
-1179.158249,200,44.492696
-1177.138141,200,44.620858
-746.634634,200,44.73253
-1258.274272,200,44.868382
-1358.827398,200,44.994253
-907.075649,200,46.540787
-1317.762522,200,46.658251
-1447.72449,200,46.793592
-1277.295495,200,46.920153
-1336.248124,200,47.049261
-1750.841668,200,47.180598
-1137.405662,200,47.291187
-1343.916543,200,47.427312
-857.724425,200,47.556389
-1302.770051,200,47.671757
-1302.128247,200,47.783185
-1909.569919,200,49.300789
-974.339396,200,49.439934
-1430.031666,200,49.571101
-1284.007651,200,49.68253
-991.20884,200,49.809764
-954.396577,200,49.936357
-1310.934007,200,50.068936
-1315.858685,200,50.197885
-1855.94372,200,50.323816
-1631.513498,200,50.440758
-899.317113,200,51.952387
-1411.537649,200,52.064045
-1516.043775,200,52.191545
-1321.769657,200,52.317389
-1174.04133,200,52.443357
-1489.402538,200,52.56102
-1064.57337,200,52.697708
-856.511879,200,52.815211
-1323.425459,200,52.941671
-1715.607971,200,53.058091
-1766.745013,200,54.550507
-1029.724545,200,54.67931
-1268.223779,200,54.837289
-1888.037808,200,54.964118
-1183.813939,200,55.097645
-1009.024224,200,55.217319
-1691.176835,200,55.304878
-1317.074224,200,55.392107
-1603.548473,200,55.480401
-988.848586,200,55.580805
-1933.11358,200,55.678366
-1777.616819,200,55.803776
-1446.084891,200,55.930955
-1267.299166,200,56.057949
-1631.698879,200,56.191821
-1034.770044,200,57.752131
-1214.04592,200,57.882977
-1364.856568,200,58.012536
-1020.362091,200,58.16859
-1243.102276,200,58.292649
-887.924851,200,58.43473
-980.43755,200,58.573567
-1073.861039,200,58.720052
-1071.842199,200,58.856946
-950.550121,200,58.990262
-1209.335314,200,59.111573
-1024.71047,200,60.631312
-1632.911251,200,60.759187
-823.570518,200,60.884757
-1024.690181,200,61.005273
-1595.53627,200,61.131712
-1071.06377,200,61.252981
-1018.689263,200,61.392397
-1536.898694,200,61.517577
-1011.722655,200,61.647769
-1149.701303,200,61.770044
-1242.755766,200,63.376625
-1070.843184,200,63.503738
-771.87879,200,63.647224
-1087.028513,200,63.773337
-1253.047836,200,63.900036
-823.33447,200,64.044709
-1589.767504,200,64.169924
-1078.019683,200,64.323737
-958.886846,200,64.432661
-992.850742,200,64.57605
-1161.565293,200,66.162684
-984.974918,200,66.289035
-869.230246,200,66.415626
-985.102477,200,66.559046
-983.667865,200,66.685982
-908.298233,200,66.828174
-873.912728,200,66.955379
-1184.568886,200,67.100248
-1402.360303,200,67.241277
-1234.095944,200,67.408015
-1351.138573,200,70.711395
-850.752137,200,70.872929
-971.722974,200,71.017985
-996.531165,200,71.162462
-1074.635831,200,71.287574
-1286.598212,200,71.395278
-1125.961651,200,71.474798
-769.057244,200,71.570014
-1563.715118,200,71.671521
-971.147845,200,71.760984
-1410.681959,200,71.890123
-975.798647,200,72.036344
-907.908693,200,72.174559
-1084.335749,200,72.31759
-1017.256575,200,72.453034
-1200.496504,200,72.596323
-896.800145,200,74.28529
-865.375788,200,74.405829
-1296.090217,200,74.547905
-1572.915929,200,74.675778
-1019.383567,200,74.827152
-1074.440204,200,74.972729
-1175.21059,200,75.113735
-967.355234,200,75.246926
-1307.560128,200,75.391718
-1349.363501,200,75.55291
-1032.995156,200,77.121914
-991.19609,200,77.249495
-1568.214036,200,77.377357
-1691.261936,200,77.504721
-1257.163631,200,77.637452
-1594.920426,200,77.760635
-1193.675643,200,77.888055
-1194.691413,200,77.998935
-881.054649,200,78.125948
-1240.801034,200,78.254954
-895.665937,200,79.903109
-808.822675,200,80.024961
-1387.061853,200,80.151793
-1679.855875,200,80.28665
-1192.859488,200,80.437213
-1190.785198,200,80.595998
-901.169597,200,80.730912
-1566.904384,200,80.875132
-1267.222219,200,80.997192
-1096.057943,200,81.140034
-770.34571,200,82.717222
-1063.624726,200,82.842946
-1268.451142,200,82.969768
-891.00944,200,83.110353
-1198.425564,200,83.264714
-1644.126075,200,83.402091
-921.023391,200,83.536661
-1094.555765,200,83.678537
-1372.058303,200,83.811328
-1406.506757,200,83.970242
-1190.254783,200,85.583788
-900.812584,200,85.70758
-1198.347729,200,85.841184
-1011.253725,200,85.96045
-1639.64393,200,86.056329
-977.241289,200,86.164402
-1074.207989,200,86.251807
-1488.969633,200,86.352753
-1017.515389,200,86.446927
-1539.344915,200,86.591743
-1121.794203,200,86.719442
-1000.429201,200,86.855252
-1078.974625,200,86.983568
-1388.543957,200,87.111144
-1311.269944,200,87.237905
-1277.455366,200,87.383344
-977.292654,200,88.988767
-1259.539403,200,89.122556
-1269.108711,200,89.253296
-1186.325258,200,89.38508
-1030.434332,200,89.512398
-1031.529242,200,89.638556
-1052.1976,200,89.781329
-1252.388279,200,89.917614
-1197.944299,200,90.060458
-1092.722302,200,90.230431
-892.798353,200,91.887604
-923.590261,200,92.030051
-1087.072924,200,92.157081
-1034.671036,200,92.30115
-1569.808304,200,92.430281
-911.312932,200,92.567719
-1046.790757,200,92.7006
-1369.9623,200,92.842508
-979.350615,200,92.983726
-1097.113442,200,93.121818
-1105.326312,200,94.669323
-1037.225003,200,94.812382
-1155.237852,200,94.940157
-973.737076,200,95.065961
-1059.503134,200,95.193411
-1052.24297,200,95.324877
-1076.423654,200,95.4501
-1040.811444,200,95.590119
-1198.66106,200,95.744885
-990.765632,200,95.876929
-1320.913934,200,97.484016
-1413.917434,200,97.623608
-1230.268325,200,97.766333
-1137.218975,200,97.894486
-945.512242,200,98.021271
-1096.347116,200,98.150317
-950.931473,200,98.285498
-1113.155603,200,98.463655
-1396.97327,200,98.634081
-1344.596761,200,98.766758
-1103.802734,200,98.90975
-1222.025464,200,100.59988
-1647.653374,200,100.752782
-977.053529,200,100.85542
-987.460104,200,100.949424
-1331.554322,200,101.047179
-1642.676456,200,101.163322
-977.829084,200,101.251435
-1035.925698,200,101.3938
-1009.218172,200,101.552752
-923.42612,200,101.695204
-903.528617,200,101.824079
-1362.340712,200,101.972772
-1276.453134,200,102.117952
-991.48409,200,102.248646
-770.147906,200,102.377153
-1111.666702,200,104.02749
-1098.064426,200,104.154653
-1076.971877,200,104.297908
-1449.701073,200,104.42513
-910.536314,200,104.55188
-1028.449665,200,104.699704
-1324.651966,200,104.866708
-918.336477,200,105.040323
-988.721042,200,105.19434
-953.537266,200,105.336772
-1333.523628,200,107.114603
-1060.292512,200,107.25939
-1025.87519,200,107.391801
-1426.226109,200,107.533851
-774.443951,200,107.661603
-916.584834,200,107.798453
-1594.399582,200,107.952272
-972.279435,200,108.113761
-1057.008303,200,108.256281
-1023.514778,200,108.40962
-944.128162,200,110.163813
-849.299273,200,110.322735
-1065.128141,200,110.481325
-1049.52355,200,110.646067
-1087.574986,200,110.779939
-1122.633057,200,110.949018
-1526.767361,200,111.079573
-986.50093,200,111.22795
-1118.811684,200,111.380635
-961.230774,200,111.522994
-909.432136,200,111.665444
-898.619514,200,113.81014
-1000.327021,200,114.079554
-756.083493,200,114.258516
-1028.686934,200,114.448528
-776.794702,200,114.649068
-1022.237166,200,114.857568
-1149.593616,200,115.117767
-749.22357,200,115.317029
-1236.102487,200,115.493623
-882.160008,200,115.675333
-751.221391,200,117.291744
-914.184098,200,117.401938
-1089.216519,200,117.487685
-1410.951386,200,117.607147
-922.095743,200,117.709871
-907.062217,200,117.81115
-895.22925,200,117.940403
-1254.664759,200,118.083503
-1380.325824,200,118.222257
-1224.893879,200,118.346545
-974.769418,200,118.474739
-1373.847354,200,118.623031
-1086.763239,200,118.765753
-1077.114348,200,118.893047
-911.68228,200,119.021617
-1133.493083,200,120.606953
-1620.939791,200,120.73427
-931.110549,200,120.86141
-1028.397591,200,121.005191
-1108.638564,200,121.147702
-1226.784367,200,121.274609
-1328.932484,200,121.417094
-961.531796,200,121.545567
-988.118492,200,121.669956
-962.953801,200,121.812532
-929.943287,200,123.430582
-1049.165356,200,123.563523
-1038.105285,200,123.704838
-918.241846,200,123.839556
-1335.080773,200,123.962797
-1219.487661,200,124.099617
-853.032329,200,124.236735
-991.506523,200,124.364078
-1233.633744,200,124.506657
-990.41685,200,124.638853
-1046.373474,200,124.760006
-884.996985,200,126.350507
-1063.19817,200,126.492477
-752.61367,200,126.62951
-1052.180639,200,126.769326
-976.390614,200,126.90931
-970.300076,200,127.107564
-898.949434,200,127.30317
-1135.7842,200,127.523062
-1029.664986,200,127.808222
-1164.047451,200,128.057016
-1012.585297,200,129.851088
-1144.558893,200,129.990059
-1050.882018,200,130.12576
-1022.007631,200,130.247134
-1094.129121,200,130.36222
-1050.031315,200,130.505423
-825.626147,200,130.644344
-909.510903,200,130.807086
-974.241052,200,130.935173
-913.694721,200,131.086559
-1106.353487,200,131.196563
-1004.194577,200,131.304488
-1014.940302,200,131.402325
-1141.10206,200,131.503633
-1005.145181,200,131.606751
-989.636943,200,133.20698
-866.633177,200,133.334065
-977.438218,200,133.461203
-1033.350783,200,133.610413
-904.010299,200,133.744401
-954.423928,200,133.936502
-843.014374,200,134.082326
-762.513935,200,134.2099
-1280.310099,200,134.340205
-880.469892,200,134.483161
-1109.214432,200,136.44622
-872.722809,200,136.594838
-859.242133,200,136.746435
-925.121078,200,136.91476
-738.362325,200,137.062207
-853.030833,200,137.211384
-933.101168,200,137.360977
-1056.034528,200,137.546222
-1110.948616,200,137.697952
-911.592431,200,137.84842
-1017.291523,200,137.991373
-843.041968,200,139.584706
-761.334682,200,139.699275
-876.636573,200,139.844024
-1136.62135,200,139.968029
-902.845759,200,140.13066
-854.536157,200,140.259985
-1083.121996,200,140.404545
-1279.031496,200,140.542883
-908.242713,200,140.738281
-885.25039,200,140.874135
-909.372059,200,142.501094
-961.166672,200,142.634058
-956.082063,200,142.764758
-1101.2902,200,142.891705
-981.700775,200,143.019349
-857.451804,200,143.161371
-979.041653,200,143.290648
-808.777029,200,143.429852
-975.385163,200,143.565353
-777.09953,200,143.693359
-995.549438,200,145.363657
-1106.64222,200,145.490579
-977.397675,200,145.61795
-897.439451,200,145.748578
-905.046186,200,145.919668
-1067.122244,200,146.074532
-885.790841,200,146.21205
-1104.820962,200,146.342314
-762.25972,200,146.489546
-772.210825,200,146.619144
-885.575617,200,146.719901
-827.736052,200,146.815272
-757.006493,200,146.914264
-766.547016,200,147.008069
-856.84481,200,147.157276
